Mobile Name,Cost,Available Colors,Storage
"Xiaomi Redmi 14C","CA$267.99"," black / blue / green","256gb"
"Xiaomi Redmi 13 4G","CA$281.98"," midnight / black / ocean / blue / pink / pearl / gold / sandy","512gb / 256gb / 128gb"
"Xiaomi Redmi Note 14 Pro 4G","CA$423.99"," black / blue / purple","512gb / 256gb"
"Redmi Note 13 Pro 5G Smartphone","CA$464.99"," blue / green / purple","256gb"
"Redmi Note 13 Pro Plus 5G Smartphone","CA$522.99"," black / purple / white","512gb / 256gb"
"Xiaomi Redmi Note 14 Pro 5G","CA$579.99"," black / green / purple","512gb / 256gb"
"Xiaomi Redmi Note 14 Pro Plus 5G","CA$650.99"," black / blue / purple","512gb / 256gb"
"Xiaomi Redmi 14C","CA$267.99"," black / blue / green","256gb"
"Xiaomi Redmi 14C","CA$267.99"," black / blue / green","256gb"
"Xiaomi Redmi 13 4G","CA$281.98"," midnight / black / ocean / blue / pink / pearl / gold / sandy","512gb / 256gb / 128gb"
"Xiaomi Redmi Note 14 Pro 4G","CA$423.99"," black / blue / purple","512gb / 256gb"
"Redmi Note 13 Pro 5G Smartphone","CA$464.99"," blue / green / purple","256gb"
"Redmi Note 13 Pro Plus 5G Smartphone","CA$522.99"," black / purple / white","512gb / 256gb"
"Xiaomi Redmi Note 14 Pro 5G","CA$579.99"," black / green / purple","512gb / 256gb"
"Xiaomi Redmi Note 14 Pro Plus 5G","CA$650.99"," black / blue / purple","256gb"
