Smartphone Model,Price,Storage Options,Available Colors
Galaxy S25 Ultra,"	$1918.99",1 TB / 256 GB / 512 GB,titanium black / titanium whitesilver / titanium silverblue / titanium gray
Galaxy S25+,"	$1438.99",256 GB / 512 GB,mint / navy / silver shadow / icyblue
Galaxy S25,"	$1198.99",128 GB / 256 GB,mint / navy / icyblue / silver shadow
Galaxy S25 Ultra (Samsung.com only),"	$1918.99",1 TB / 256 GB / 512 GB,titanium jetblack / titanium jadegreen / titanium pinkgold
Galaxy S25+ (Samsung.com only),"	$1438.99",256 GB / 512 GB,coralred / pinkgold / blueblack
Galaxy S25 (Samsung.com only),"	$1198.99",128 GB / 256 GB,coralred / pinkgold / blueblack
Galaxy Z Fold6 (Online Exclusive),"	$2314.99",1 TB / 256 GB / 512 GB,crafted black / white
Galaxy Z Flip6 (Online Exclusive),"	$1262.99",256 GB / 512 GB,crafted black / peach / light gray
Galaxy Z Fold6,"	$2314.99",1 TB / 256 GB / 512 GB,pink / navy / silver shadow
Galaxy Z Flip6,"	$1262.99",256 GB / 512 GB,mint / blue / yellow / silver shadow
Galaxy S24 FE,"	$749.99",128 GB / 256 GB,mint / blue / marble gray / graphite
Galaxy S25 Ultra,"	$1918.99",1 TB / 256 GB / 512 GB,titanium black / titanium whitesilver / titanium silverblue / titanium gray
Galaxy S25+,"	$1438.99",256 GB / 512 GB,mint / navy / silver shadow / icyblue
Galaxy S25,"	$1198.99",128 GB / 256 GB,mint / navy / icyblue / silver shadow
Galaxy S25 Ultra (Samsung.com only),"	$1918.99",1 TB / 256 GB / 512 GB,titanium jetblack / titanium jadegreen / titanium pinkgold
Galaxy S25+ (Samsung.com only),"	$1438.99",256 GB / 512 GB,coralred / pinkgold / blueblack
Galaxy S25 (Samsung.com only),"	$1198.99",128 GB / 256 GB,coralred / pinkgold / blueblack
Galaxy Z Fold6 (Online Exclusive),"	$2314.99",1 TB / 256 GB / 512 GB,crafted black / white
Galaxy Z Flip6 (Online Exclusive),"	$1262.99",256 GB / 512 GB,crafted black / peach / light gray
Galaxy Z Fold6,"	$2314.99",1 TB / 256 GB / 512 GB,pink / navy / silver shadow
Galaxy Z Flip6,"	$1262.99",256 GB / 512 GB,mint / blue / yellow / silver shadow
Galaxy S24 FE,"	$749.99",128 GB / 256 GB,mint / blue / marble gray / graphite
Galaxy S25 Ultra,"	$1918.99",1 TB / 256 GB / 512 GB,titanium black / titanium whitesilver / titanium silverblue / titanium gray
Galaxy S25+,"	$1438.99",256 GB / 512 GB,mint / navy / silver shadow / icyblue
Galaxy S25,"	$1198.99",128 GB / 256 GB,mint / navy / icyblue / silver shadow
Galaxy S25 Ultra (Samsung.com only),"	$1918.99",1 TB / 256 GB / 512 GB,titanium jetblack / titanium jadegreen / titanium pinkgold
Galaxy S25+ (Samsung.com only),"	$1438.99",256 GB / 512 GB,coralred / pinkgold / blueblack
Galaxy S25 (Samsung.com only),"	$1198.99",128 GB / 256 GB,coralred / pinkgold / blueblack
Galaxy A16 5G,"	$239.99",128 GB,blue black
Galaxy Z Fold6 (Online Exclusive),"	$2314.99",1 TB / 256 GB / 512 GB,crafted black / white
Galaxy Z Flip6 (Online Exclusive),"	$1262.99",256 GB / 512 GB,crafted black / peach / light gray
Galaxy Z Fold6,"	$2314.99",1 TB / 256 GB / 512 GB,pink / navy / silver shadow
Galaxy Z Flip6,"	$1262.99",256 GB / 512 GB,mint / blue / yellow / silver shadow
Galaxy S25 Ultra,"	$1918.99",1 TB / 256 GB / 512 GB,titanium black / titanium whitesilver / titanium silverblue / titanium gray
Galaxy S25+,"	$1438.99",256 GB / 512 GB,mint / navy / silver shadow / icyblue
Galaxy S25,"	$1198.99",128 GB / 256 GB,mint / navy / icyblue / silver shadow
Galaxy S25 Ultra (Samsung.com only),"	$1918.99",1 TB / 256 GB / 512 GB,titanium jetblack / titanium jadegreen / titanium pinkgold
Galaxy S25+ (Samsung.com only),"	$1438.99",256 GB / 512 GB,coralred / pinkgold / blueblack
Galaxy S25 (Samsung.com only),"	$1198.99",128 GB / 256 GB,coralred / pinkgold / blueblack
Galaxy A16 5G,"	$239.99",128 GB,blue black
Galaxy Z Fold6 (Online Exclusive),"	$2314.99",1 TB / 256 GB / 512 GB,crafted black / white
Galaxy Z Flip6 (Online Exclusive),"	$1262.99",256 GB / 512 GB,crafted black / peach / light gray
Galaxy Z Fold6,"	$2314.99",1 TB / 256 GB / 512 GB,pink / navy / silver shadow
Galaxy Z Flip6,"	$1262.99",256 GB / 512 GB,mint / blue / yellow / silver shadow
Galaxy S25 Ultra,"	$1918.99",1 TB / 256 GB / 512 GB,titanium black / titanium whitesilver / titanium silverblue / titanium gray
Galaxy S25+,"	$1438.99",256 GB / 512 GB,mint / navy / silver shadow / icyblue
Galaxy S25,"	$1198.99",128 GB / 256 GB,mint / navy / icyblue / silver shadow
Galaxy S25 Ultra (Samsung.com only),"	$1918.99",1 TB / 256 GB / 512 GB,titanium jetblack / titanium jadegreen / titanium pinkgold
Galaxy S25+ (Samsung.com only),"	$1438.99",256 GB / 512 GB,coralred / pinkgold / blueblack
Galaxy S25 (Samsung.com only),"	$1198.99",128 GB / 256 GB,coralred / pinkgold / blueblack
Galaxy A16 5G,"	$239.99",128 GB,blue black
Galaxy Z Fold6 (Online Exclusive),"	$2314.99",1 TB / 256 GB / 512 GB,crafted black / white
Galaxy Z Flip6 (Online Exclusive),"	$1262.99",256 GB / 512 GB,crafted black / peach / light gray
Galaxy Z Fold6,"	$2314.99",1 TB / 256 GB / 512 GB,pink / navy / silver shadow
Galaxy Z Flip6,"	$1262.99",256 GB / 512 GB,mint / blue / yellow / silver shadow
Galaxy S25 Ultra,"	$1918.99",1 TB / 256 GB / 512 GB,titanium black / titanium whitesilver / titanium silverblue / titanium gray
Galaxy S25+,"	$1438.99",256 GB / 512 GB,mint / navy / silver shadow / icyblue
