Product Name,Product Price,Color,Product Specs
OnePlus 13R,$599.99 ,Nebula Noir,12 GB RAM + 256 GB Storage
OnePlus 13R,$599.99 ,Nebula Noir,12 GB RAM + 256 GB Storage
OnePlus 13R,$599.99,Nebula Noir,12 GB RAM + 256 GB Storage
OnePlus 13R,$599.99,Nebula Noir,12 GB RAM + 256 GB Storage
OnePlus 13R,$599.99,Nebula Noir,12 GB RAM + 256 GB Storage
OnePlus 13R,$599.99,Nebula Noir,12 GB RAM + 256 GB Storage
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
OnePlus 13R,$599.99,12 GB RAM + 256 GB ROM,Nebula Noir
